rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
204,frame_0207.jpg,82.8,0.5618,0.8517,0.4,0.08,15,8,False,False
205,frame_0317.jpg,126.8,0.5612,0.7424,0.5,0.2,28,10,False,False
206,frame_0001.jpg,0.4,0.5594,0.8028,0.5,0.04,20,10,False,False
207,frame_0386.jpg,154.4,0.5584,0.6907,0.55,0.24,32,11,False,False
208,frame_0277.jpg,110.8,0.5577,0.8295,0.45,0.04,21,9,False,False
209,frame_0106.jpg,42.4,0.5571,0.7982,0.5,0.04,28,10,False,False
210,frame_0012.jpg,4.8,0.5567,0.7913,0.35,0.28,15,7,False,False
211,frame_0108.jpg,43.2,0.554,0.822,0.45,0.04,26,9,False,False
212,frame_0290.jpg,116.0,0.5535,0.821,0.45,0.04,17,9,False,False
213,frame_0022.jpg,8.8,0.5529,0.8777,0.3,0.12,17,6,False,False
214,frame_0074.jpg,29.6,0.5508,0.8455,0.4,0.04,20,8,False,False
215,frame_0195.jpg,78.0,0.5497,0.7614,0.35,0.32,18,7,False,False
216,frame_0024.jpg,9.6,0.5489,0.8718,0.35,0.04,19,7,False,False
217,frame_0203.jpg,81.2,0.5485,0.731,0.45,0.24,17,9,False,False
218,frame_0196.jpg,78.4,0.5478,0.7716,0.3,0.36,15,6,False,False
219,frame_0316.jpg,126.4,0.5412,0.7483,0.45,0.16,27,9,False,False
220,frame_0279.jpg,111.6,0.5407,0.7934,0.4,0.12,22,8,False,False
221,frame_0208.jpg,83.2,0.5406,0.8853,0.3,0.04,17,6,False,False
222,frame_0188.jpg,75.2,0.5403,0.8245,0.4,0.04,29,8,False,False
223,frame_0021.jpg,8.4,0.5389,0.8658,0.3,0.08,14,6,False,False
224,frame_0192.jpg,76.8,0.5368,0.7536,0.4,0.2,18,8,False,False
225,frame_0322.jpg,128.8,0.5364,0.8288,0.3,0.16,27,6,False,False
226,frame_0285.jpg,114.0,0.5287,0.7714,0.45,0.04,18,9,False,False
227,frame_0292.jpg,116.8,0.5274,0.8588,0.3,0.04,19,6,False,False
228,frame_0184.jpg,73.6,0.5243,0.6566,0.6,0.08,26,12,False,False
229,frame_0288.jpg,115.2,0.5214,0.7248,0.45,0.12,18,9,False,False
230,frame_0018.jpg,7.2,0.5194,0.8429,0.3,0.04,16,6,False,False
231,frame_0211.jpg,84.4,0.5184,0.7347,0.45,0.08,14,9,False,False
232,frame_0017.jpg,6.8,0.514,0.846,0.25,0.08,19,5,False,False
233,frame_0002.jpg,0.8,0.5139,0.8157,0.3,0.08,18,6,False,False
234,frame_0286.jpg,114.4,0.5059,0.8297,0.25,0.08,18,5,False,False
235,frame_0197.jpg,78.8,0.5024,0.6648,0.3,0.4,15,6,False,False
236,frame_0020.jpg,8.0,0.502,0.8379,0.25,0.04,13,5,False,False
237,frame_0023.jpg,9.2,0.5017,0.7615,0.35,0.08,17,7,False,False
238,frame_0193.jpg,77.2,0.5005,0.665,0.4,0.24,20,8,False,False
239,frame_0200.jpg,80.0,0.4981,0.7022,0.25,0.36,14,5,False,False
240,frame_0210.jpg,84.0,0.494,0.792,0.3,0.04,15,6,False,False
241,frame_0199.jpg,79.6,0.4923,0.6445,0.3,0.4,14,6,False,False
242,frame_0015.jpg,6.0,0.4816,0.6892,0.35,0.16,14,7,False,False
243,frame_0201.jpg,80.4,0.4793,0.7105,0.2,0.32,15,4,False,False
244,frame_0014.jpg,5.6,0.4743,0.7186,0.25,0.2,14,5,False,False
